date,open,high,low,close,volume
2018-02-23,244.4189,245.778,242.3702,245.778,10382510
2018-02-26,247.6469,247.8267,243.9092,246.4276,11732844
2018-02-27,245.3483,248.7562,244.9785,245.9079,11385899
2018-02-28,246.3477,247.9467,241.3807,241.8504,13077878
2018-03-01,241.7605,243.9392,227.9838,232.0665,26002972
2018-03-02,227.7192,236.6537,221.7129,236.3938,22835685
2018-03-05,234.3651,237.1034,229.3792,235.5044,15519413
2018-03-06,238.9522,242.7899,237.2133,242.0103,15920243
2018-03-07,237.8529,243.7992,237.8029,241.6905,14530226
2018-03-08,242.7999,242.7999,239.2428,241.031,10297761
2018-03-09,242.9498,245.6981,242.3003,245.1784,12638148
2018-03-12,246.8474,252.8436,246.5199,249.6056,15126541
2018-03-13,251.3346,254.3427,245.8879,247.5569,15494309
2018-03-14,249.2958,250.3952,246.0678,248.5863,12637361
2018-03-15,249.1359,252.4639,247.487,249.1859,10048837
2018-03-16,249.8455,251.0947,248.3264,250.3252,9986432
2018-03-19,248.0266,249.1959,236.8535,240.8511,17844338
2018-03-20,240.971,250.9948,240.971,249.4258,13867409
2018-03-21,249.1659,251.8443,247.1772,248.4064,10967216
2018-03-22,245.848,247.7268,240.1925,241.7005,13779919
2018-03-23,242.2502,242.52,232.3763,232.826,18390461
2018-03-26,237.8529,244.3789,235.7542,244.3289,15285640
2018-03-27,247.5969,249.8455,219.7091,225.3806,35225012
2018-03-28,223.9915,229.2482,216.8659,221.2132,23647648
2018-03-29,223.9665,235.3545,220.5638,231.4469,22915692
2018-04-02,228.5986,234.505,217.3656,220.9134,23052315
2018-04-03,227.6592,230.2076,221.2132,225.2107,16685759
2018-04-04,214.8771,226.5205,213.8677,226.1002,19729161
2018-04-05,228.4587,228.9884,218.355,221.2432,17530973
2018-04-06,217.0958,221.4631,212.9418,214.1176,16574720
2018-04-09,216.666,221.8328,214.4674,215.2769,12488120
2018-04-10,224.5811,228.8585,222.2726,227.7692,19118807
2018-04-11,227.1695,228.8345,224.782,226.1002,11506057
2018-04-12,229.8579,235.1746,228.0739,234.455,14847950
2018-04-13,237.0234,237.3632,229.4081,231.3569,12575892
2018-04-16,231.6288,232.6961,227.5393,231.3469,8769776
2018-04-17,233.4556,238.2527,231.207,237.3932,11180638
2018-04-18,235.3545,239.1021,232.6261,236.2239,9784058
2018-04-19,231.602,232.9559,226.6598,228.8985,11799933
2018-04-20,228.5487,231.9566,227.3094,228.5687,9654966
2018-04-23,229.2882,231.3569,222.6923,223.7416,10687723
2018-04-24,224.781,228.6586,218.4249,221.0633,10364894
2018-04-25,219.864,221.4381,210.17,216.5261,14712343
2018-04-26,223.0621,225.4106,220.3937,225.0808,9395574
2018-04-27,229.3582,230.1577,224.4812,226.1901,10021245
2018-04-30,226.8497,228.8585,223.9815,224.761,8196067
2018-05-01,224.4312,227.1096,222.0627,226.9996,6344727
2018-05-02,226.8597,228.6586,225.1108,226.1701,6706185
2018-05-03,227.4593,233.9054,225.6305,232.846,11078640
2018-05-04,231.6867,239.0411,230.9872,238.9123,10016538
2018-05-07,243.1443,250.8349,242.7399,248.5263,17190378
2018-05-08,248.5363,250.3552,246.5575,250.2453,12665374
2018-05-09,251.0548,255.7119,249.9554,255.6219,14918980
2018-05-10,257.7606,260.339,257.041,259.9692,24852029
2018-05-11,252.6238,259.6295,250.3852,254.3727,30361406
2018-05-14,255.9117,258.3303,254.2428,255.2022,13078477
2018-05-15,252.6338,252.7437,241.3508,245.4082,24088210
2018-05-16,243.8492,248.3664,242.3601,245.858,13845706
2018-05-17,245.9319,251.3446,245.2783,247.5569,12994605
2018-05-18,249.6556,252.214,245.5881,245.788,12092942
2018-05-21,249.7256,249.8755,240.3414,244.0891,16015620
